timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
0.733,4.794,0,0.00,0.00,0.0000,0.00,376,0.000,0.000,0.00,0
0.741,8.320,0,0.00,0.00,0.0000,0.00,380,0.000,0.000,0.00,0
0.745,4.493,0,0.00,0.00,0.0000,0.00,382,0.000,0.000,0.00,0
0.749,3.869,0,0.00,0.00,0.0000,0.00,384,0.000,0.000,0.00,0
0.754,5.010,0,0.00,0.00,0.0000,0.00,387,0.000,0.000,0.00,0
0.759,5.051,0,0.00,0.00,0.0000,0.00,389,0.000,0.000,0.00,0
0.765,5.776,0,0.00,0.00,0.0000,0.00,392,0.000,0.000,0.00,0
0.771,5.655,0,0.00,0.00,0.0000,0.00,395,0.000,0.000,0.00,0
0.776,5.013,0,0.00,0.00,0.0000,0.00,397,0.000,0.000,0.00,0
0.780,4.367,0,0.00,0.00,0.0000,0.00,400,0.000,0.000,0.00,0
0.785,5.233,0,0.00,0.00,0.0000,0.00,402,0.000,0.000,0.00,0
0.790,4.359,0,0.00,0.00,0.0000,0.00,404,0.000,0.000,0.00,0
0.796,5.893,0,0.00,0.00,0.0000,0.00,407,0.000,0.000,0.00,0
0.801,5.495,0,0.00,0.00,0.0000,0.00,410,0.000,0.000,0.00,0
0.805,4.413,0,0.00,0.00,0.0000,0.00,412,0.000,0.000,0.00,0
0.810,4.967,0,0.00,0.00,0.0000,0.00,415,0.000,0.000,0.00,0
0.815,4.499,0,0.00,0.00,0.0000,0.00,417,0.000,0.000,0.00,0
0.819,3.600,0,0.00,0.00,0.0000,0.00,419,0.000,0.000,0.00,0
0.822,3.517,0,0.00,0.00,0.0000,0.00,421,0.000,0.000,0.00,0
0.826,3.789,0,0.00,0.00,0.0000,0.00,422,0.000,0.000,0.00,0
0.831,4.797,0,0.00,0.00,0.0000,0.00,425,0.000,0.000,0.00,0
0.835,4.411,0,0.00,0.00,0.0000,0.00,427,0.000,0.000,0.00,0
0.839,4.192,0,0.00,0.00,0.0000,0.00,429,0.000,0.000,0.00,0
0.845,5.317,0,0.00,0.00,0.0000,0.00,432,0.000,0.000,0.00,0
0.851,6.351,0,0.00,0.00,0.0000,0.00,435,0.000,0.000,0.00,0
0.855,3.607,954966016,910.73,0.00,0.0000,0.00,437,0.000,0.000,0.00,0
0.861,6.022,954966016,910.73,0.00,0.0000,0.00,440,0.000,0.000,0.00,0
0.866,5.866,954966016,910.73,0.00,0.0000,0.00,443,0.000,0.000,0.00,0
0.872,5.508,954966016,910.73,0.00,0.0000,0.00,445,0.000,0.000,0.00,0
0.877,4.896,954966016,910.73,0.00,0.0000,0.00,448,0.000,0.000,0.00,0
0.881,4.403,954966016,910.73,0.00,0.0000,0.00,450,0.000,0.000,0.00,0
0.886,4.779,954966016,910.73,0.00,0.0000,0.00,452,0.000,0.000,0.00,0
0.890,4.384,954966016,910.73,0.00,0.0000,0.00,455,0.000,0.000,0.00,0
0.896,5.275,954966016,910.73,0.00,0.0000,0.00,457,0.000,0.000,0.00,0
0.901,5.045,954966016,910.73,0.00,0.0000,0.00,460,0.000,0.000,0.00,0
0.905,4.793,954966016,910.73,0.00,0.0000,0.00,462,0.000,0.000,0.00,0
0.912,6.547,954966016,910.73,0.00,0.0000,0.00,466,0.000,0.000,0.00,0
0.917,5.333,954966016,910.73,0.00,0.0000,0.00,468,0.000,0.000,0.00,0
0.923,5.530,954966016,910.73,0.00,0.0000,0.00,471,0.000,0.000,0.00,0
0.928,4.958,954966016,910.73,0.00,0.0000,0.00,473,0.000,0.000,0.00,0
0.933,4.805,954966016,910.73,0.00,0.0000,0.00,476,0.000,0.000,0.00,0
0.938,5.715,954966016,910.73,0.00,0.0000,0.00,479,0.000,0.000,0.00,0
0.945,6.477,954966016,910.73,0.00,0.0000,0.00,482,0.000,0.000,0.00,0
0.951,5.707,954966016,910.73,0.00,0.0000,0.00,485,0.000,0.000,0.00,0
0.958,7.021,954966016,910.73,0.00,0.0000,0.00,488,0.000,0.000,0.00,0
0.962,4.799,954966016,910.73,0.00,0.0000,0.00,491,0.000,0.000,0.00,0
0.969,6.163,954966016,910.73,0.00,0.0000,0.00,494,0.000,0.000,0.00,0
0.972,3.902,954966016,910.73,0.00,0.0000,0.00,496,0.000,0.000,0.00,0
0.977,5.038,954966016,910.73,0.00,0.0000,0.00,498,0.000,0.000,0.00,0
0.982,4.910,954966016,910.73,0.00,0.0000,0.00,501,0.000,0.000,0.00,0
0.989,7.027,954966016,910.73,0.00,0.0000,0.00,504,0.000,0.000,0.00,0
0.993,3.976,954966016,910.73,0.00,0.0000,0.00,506,0.000,0.000,0.00,0
0.998,4.459,954966016,910.73,0.00,0.0000,0.00,508,0.000,0.000,0.00,0
1.002,4.323,954966016,910.73,509.89,0.0000,0.00,511,0.000,0.000,0.00,0
1.006,3.765,954966016,910.73,509.89,0.0000,0.00,512,0.000,0.000,0.00,0
1.011,4.993,954966016,910.73,509.89,0.0000,0.00,515,0.000,0.000,0.00,0
1.016,4.845,954966016,910.73,509.89,0.0000,0.00,517,0.000,0.000,0.00,0
1.020,3.956,954966016,910.73,509.89,0.0000,0.00,519,0.000,0.000,0.00,0
1.024,3.862,954966016,910.73,509.89,0.0000,0.00,521,0.000,0.000,0.00,0
1.029,4.976,954966016,910.73,509.89,0.0000,0.00,524,0.000,0.000,0.00,0
